id,name,brand,short_description,description,images,price,discount,rating,stock,created_at,updated_at,store_id,store_name,store_description,store_image,store_address,store_owner,store_phoneNumber,store_opens_at,store_closes_at,store_rating,store_created_at,store_updated_at
1,Incredible Fresh Pizza,Lakin - Lind,Earum ipsam illum itaque labore modi vero similique dolorem.,Maiores optio atque deleniti veniam voluptatibus iusto. Facilis adipisci dignissimos non laborum consequuntur sunt. Inventore in odit omnis perferendis beatae laudantium minus aliquid voluptate.,"https://picsum.photos/seed/asperiores/800/800,https://picsum.photos/seed/East/800/800,https://picsum.photos/seed/Tasty/800/800,https://picsum.photos/seed/South/800/800,https://picsum.photos/seed/BMW/800/800",14,0,3,13,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),1,Klocko - Schuppe,Nemo ipsa commodi enim porro earum molestias placeat molestias excepturi. Qui necessitatibus atque. Possimus numquam porro neque recusandae assumenda animi quo voluptatem.,https://picsum.photos/seed/Accounts/800/800,,,551-363-3186 x3513,27499,79792,0,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time)
2,Generic Soft Pizza,Jacobs - Donnelly,Ipsa adipisci veniam quas illum autem praesentium alias laudantium consequatur.,Dignissimos at saepe laudantium inventore omnis. Accusamus voluptatum adipisci at unde adipisci provident molestiae aspernatur natus. Asperiores tenetur dolor. Sint fugit aliquid. Nihil quod perspiciatis aliquid. Distinctio optio cumque corporis quae illum numquam eos.,"https://picsum.photos/seed/great/800/800,https://picsum.photos/seed/Jazz/800/800,https://picsum.photos/seed/plum/800/800,https://picsum.photos/seed/Product/800/800,https://picsum.photos/seed/Sausages/800/800",48,0,0,39,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),1,Klocko - Schuppe,Nemo ipsa commodi enim porro earum molestias placeat molestias excepturi. Qui necessitatibus atque. Possimus numquam porro neque recusandae assumenda animi quo voluptatem.,https://picsum.photos/seed/Accounts/800/800,,,551-363-3186 x3513,27499,79792,0,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time)
3,Electronic Concrete Tuna,Rau - Ortiz,Eligendi ipsam iure ex quas dicta sequi.,Ratione fugiat tempore facere sint asperiores consectetur magni sint nesciunt. Error ab minus odit numquam dolorem quaerat ad ab dolorem. Fugiat omnis corporis minus ratione adipisci recusandae. Quos animi cum ullam in fugiat numquam doloribus. Quibusdam odio ipsa libero cum velit voluptatem ullam porro iusto.,"https://picsum.photos/seed/salmon/800/800,https://picsum.photos/seed/hmph/800/800,https://picsum.photos/seed/Cordoba/800/800,https://picsum.photos/seed/Wells/800/800,https://picsum.photos/seed/World/800/800",78,22,0,79,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),1,Klocko - Schuppe,Nemo ipsa commodi enim porro earum molestias placeat molestias excepturi. Qui necessitatibus atque. Possimus numquam porro neque recusandae assumenda animi quo voluptatem.,https://picsum.photos/seed/Accounts/800/800,,,551-363-3186 x3513,27499,79792,0,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time)
4,Generic Rubber Keyboard,Gerhold LLC,Optio unde quas alias.,Dignissimos ratione itaque eveniet natus iusto sunt animi. Itaque vel hic delectus nisi eum. Possimus dicta fugiat. Adipisci quam nihil ad aliquam quam unde iure distinctio.,"https://picsum.photos/seed/wowee/800/800,https://picsum.photos/seed/pullulate/800/800,https://picsum.photos/seed/sky/800/800,https://picsum.photos/seed/Trial/800/800,https://picsum.photos/seed/Investment/800/800",74,82,6,56,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),1,Klocko - Schuppe,Nemo ipsa commodi enim porro earum molestias placeat molestias excepturi. Qui necessitatibus atque. Possimus numquam porro neque recusandae assumenda animi quo voluptatem.,https://picsum.photos/seed/Accounts/800/800,,,551-363-3186 x3513,27499,79792,0,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time)
5,Elegant Steel Pants,"Ernser, Pacocha and Witting",Occaecati eius a temporibus facere.,Nostrum repellendus explicabo nobis distinctio nihil quisquam laborum magni. Saepe et incidunt modi placeat adipisci. Deleniti eius quasi tempore reprehenderit magni laborum. Vel delectus nulla laboriosam earum amet dolore culpa voluptates voluptate. Beatae quo nemo minus earum omnis similique.,"https://picsum.photos/seed/once/800/800,https://picsum.photos/seed/Mazda/800/800,https://picsum.photos/seed/Sedan/800/800,https://picsum.photos/seed/invoice/800/800,https://picsum.photos/seed/Indiana/800/800",74,0,6,36,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),1,Klocko - Schuppe,Nemo ipsa commodi enim porro earum molestias placeat molestias excepturi. Qui necessitatibus atque. Possimus numquam porro neque recusandae assumenda animi quo voluptatem.,https://picsum.photos/seed/Accounts/800/800,,,551-363-3186 x3513,27499,79792,0,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time)
6,Rustic Fresh Bike,Heaney and Sons,Soluta quas necessitatibus.,Quia delectus nam repellendus ducimus provident neque natus rerum. Aliquid dolorem animi. Eligendi eligendi corrupti quo cupiditate magni ea ducimus facere. Pariatur iste eveniet odit deserunt voluptatum. Ab dignissimos iusto expedita.,"https://picsum.photos/seed/bypassing/800/800,https://picsum.photos/seed/New/800/800,https://picsum.photos/seed/Fresh/800/800,https://picsum.photos/seed/projection/800/800,https://picsum.photos/seed/siemens/800/800",90,0,6,33,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),1,Klocko - Schuppe,Nemo ipsa commodi enim porro earum molestias placeat molestias excepturi. Qui necessitatibus atque. Possimus numquam porro neque recusandae assumenda animi quo voluptatem.,https://picsum.photos/seed/Accounts/800/800,,,551-363-3186 x3513,27499,79792,0,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time)
7,Elegant Plastic Mouse,"Blanda, Herman and Turner",Facilis enim hic unde incidunt.,Itaque porro iure culpa vero. Commodi aliquid a incidunt minus doloribus. Repellat in exercitationem architecto eveniet voluptatum exercitationem. Culpa beatae quos quasi est saepe vel provident fuga. Maiores dicta dolore consectetur unde harum consequatur iure nam. Praesentium ducimus optio facilis asperiores est quo laborum voluptatibus velit.,"https://picsum.photos/seed/Christian/800/800,https://picsum.photos/seed/Rubber/800/800,https://picsum.photos/seed/Unbranded/800/800,https://picsum.photos/seed/that/800/800,https://picsum.photos/seed/kelvin/800/800",76,48,6,91,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),1,Klocko - Schuppe,Nemo ipsa commodi enim porro earum molestias placeat molestias excepturi. Qui necessitatibus atque. Possimus numquam porro neque recusandae assumenda animi quo voluptatem.,https://picsum.photos/seed/Accounts/800/800,,,551-363-3186 x3513,27499,79792,0,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time)
8,Practical Cotton Gloves,Nienow - Hoppe,Fugit occaecati doloribus deleniti.,Consectetur quas animi quo recusandae dignissimos iusto error nam laboriosam. Quae voluptatum distinctio tempore vitae quis distinctio eum eius corporis. Possimus itaque aperiam porro iste.,"https://picsum.photos/seed/Computer/800/800,https://picsum.photos/seed/Bicycle/800/800,https://picsum.photos/seed/payment/800/800,https://picsum.photos/seed/Group/800/800,https://picsum.photos/seed/Metal/800/800",96,0,3,28,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),1,Klocko - Schuppe,Nemo ipsa commodi enim porro earum molestias placeat molestias excepturi. Qui necessitatibus atque. Possimus numquam porro neque recusandae assumenda animi quo voluptatem.,https://picsum.photos/seed/Accounts/800/800,,,551-363-3186 x3513,27499,79792,0,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time)
9,Electronic Granite Mouse,"Walsh, Herman and Langworth",Corrupti eum ab ducimus tempora magni veniam.,Accusantium vitae temporibus dolor modi. Corrupti repudiandae veritatis praesentium mollitia magnam. Earum debitis autem quas quod. Harum maiores animi maxime quod laborum. Saepe consectetur expedita officiis blanditiis dolorum nulla vitae praesentium. Voluptas expedita harum numquam omnis voluptas ab.,"https://picsum.photos/seed/applications/800/800,https://picsum.photos/seed/Brand/800/800,https://picsum.photos/seed/with/800/800,https://picsum.photos/seed/Rock/800/800,https://picsum.photos/seed/Omnigender/800/800",80,0,6,26,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),1,Klocko - Schuppe,Nemo ipsa commodi enim porro earum molestias placeat molestias excepturi. Qui necessitatibus atque. Possimus numquam porro neque recusandae assumenda animi quo voluptatem.,https://picsum.photos/seed/Accounts/800/800,,,551-363-3186 x3513,27499,79792,0,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time)
10,Rustic Rubber Cheese,O'Kon - Murphy,Animi molestiae quas beatae.,Doloremque earum quam est eveniet ea voluptatum porro quia. Laboriosam nisi tempora. Voluptatem delectus iusto sunt ipsam rerum.,"https://picsum.photos/seed/suit/800/800,https://picsum.photos/seed/Buckinghamshire/800/800,https://picsum.photos/seed/Marketing/800/800,https://picsum.photos/seed/Synergistic/800/800,https://picsum.photos/seed/Games/800/800",60,0,0,91,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),2,"Goldner, Legros and Cormier",Praesentium voluptatem recusandae dignissimos neque ipsum animi. Veniam iste odit aperiam eius deleniti voluptate odit saepe. Incidunt fugit maiores ducimus repellat odio mollitia.,https://picsum.photos/seed/Southeast/800/800,,,692.799.3604 x987,28196,49167,3,Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time),Sat Jan 07 2023 20:13:17 GMT+0100 (Central European Standard Time)
